sexo_jefe,edad_jefe,ingr_trim
1,53,20844.64
2,46,43976.81
1,42,76166.36
1,48,59015.14
1,49,85565.44
2,46,36645.62
2,78,27836.23
2,38,74580.35
1,48,40159.16
1,38,82150.84
2,40,62348.07
1,34,47692.65
1,73,169901.8
2,50,104311
1,57,150632.95
2,38,166463.67
1,30,12595.02
1,80,16577.33
1,46,12054.22
1,53,39275.79
1,47,93234.71
1,45,59139.9
1,50,24717.71
1,53,14241.15
1,35,31239.63
1,30,32023.93
2,47,37437.21
1,76,5465.26
1,66,24267.73
1,36,36027.76
1,36,19931.27
1,59,60283.07
1,51,19418.66
1,39,55438.28
2,42,14055.39
1,90,12647.24
1,39,47478.76
2,63,19509.18
1,47,181577.82
2,25,12472.81
1,40,29212.12
1,37,28988.44
1,36,36100.97
2,50,158600.91
1,49,62269.11
1,64,54214.57
1,51,68820.62
2,34,97082.08
1,40,111966.66
1,39,144421.56
1,43,78410.72
1,43,35649.16
1,39,178177.58
1,50,61131.13
1,34,81337.4
1,28,131557.32
1,38,19834.42
1,46,34433.89
2,38,76840.6
1,21,25239.12
1,35,50219.48
1,42,87490.56
1,38,34977.55
1,68,25738.84
1,37,36368.71
1,78,62107.3
2,34,37988.51
1,36,34655.93
2,58,13748.33
1,47,50808.74
1,41,43475.07
2,63,20267.34
2,89,24436.55
1,47,24253.74
1,29,37697.74
1,72,44023.24
1,45,44430.36
1,47,72012.22
2,46,24871.31
1,70,176313.67
1,56,28354.4
2,40,26351.49
1,45,131473.38
1,49,10856.85
1,48,56619.75
1,26,37780.3
1,30,29686.69
1,73,54497.49
2,51,19229.65
1,59,97424.82
1,28,35596.08
1,24,25678.75
1,39,24937.11
1,65,42761.03
1,67,54496.63
2,60,26043.17
1,44,128399.87
2,37,39876.49
2,28,21943.62
1,57,29710.6
2,39,42206.23
2,48,54815.58
2,49,60010.17
1,71,28850.23
1,40,43091.03
1,40,62947.37
1,54,76265.64
1,47,44574.25
1,39,48353.76
1,43,45692.34
1,40,55978.72
